260,0.554467023
280,0.450583736
300,0.343621291
320,0.291529998
340,0.233714953
360,0.201437683
380,0.181382229
400,0.181708578
420,0.187681234
460,0.217408183
500,0.213782804
540,0.184614004
580,0.156044229
620,0.164275293
660,0.182124162
700,0.206194774
750,0.230201506
800,0.238859229
850,0.244101941
900,0.264901206
950,0.325149108
1000,0.399741808
1050,0.491186354
1100,0.602476048
1150,0.763309822
1200,0.968372458
1250,1.22912336
1300,1.558322912
1350,1.963467333
1400,2.62285247
